what is the elevation of the highest point in the usa ||| SELECT max(highlow.highest_elevation) FROM highlow;
what is the longest river in the smallest state in the usa ||| SELECT river.river_name FROM river WHERE river.traverse IN(SELECT state.state_name FROM state WHERE state.area=(SELECT min(state.area) FROM state)) AND river.length=(SELECT max(river.length) FROM river WHERE river.traverse IN(SELECT state.state_name FROM state WHERE state.area=(SELECT min(state.area) FROM state)));
what is the highest point in colorado ||| SELECT highlow.highest_point FROM highlow WHERE highlow.state_name='colorado';
how many cities are in louisiana ||| SELECT count(city.city_name) FROM city WHERE city.state_name='louisiana';
what states border states that border the state with the largest population ? ||| SELECT b1.border FROM border_info b1, border_info b2 WHERE b1.state_name = b2.border AND b2.state_name IN (SELECT state.state_name FROM state WHERE state.population = (SELECT max(state.population) FROM state));
what is the capital of hawaii ||| SELECT state.capital FROM state WHERE state.state_name='hawaii';
in what state is mount mckinley ||| SELECT mountain.state_name FROM mountain WHERE mountain.mountain_name='mckinley';
what is the population of portland maine ||| SELECT city.population FROM city WHERE city.city_name='portland' AND city.state_name='maine';
what state has the city with the most population ||| SELECT city.state_name FROM city WHERE city.population=(SELECT max(city.population) FROM city);
what is the largest city of kansas ||| SELECT city.city_name FROM city WHERE city.state_name='kansas' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='kansas');
how long is the missouri river ||| SELECT river.length FROM river WHERE river.river_name='missouri';
what is the height of mount mckinley ||| SELECT mountain.mountain_altitude FROM mountain WHERE mountain.mountain_name='mckinley';
what states border wisconsin ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='wisconsin';
give me the cities which are in texas ||| SELECT city.city_name FROM city WHERE city.state_name='texas';
what is the density of texas ||| SELECT state.density FROM state WHERE state.state_name='texas';
how many cities are there in usa ||| SELECT count(city.city_name) FROM city;
what is the population of springfield south dakota ||| SELECT city.population FROM city WHERE city.city_name='springfield' AND city.state_name='south dakota';
what states high point are higher than that of colorado ? ||| SELECT highlow.state_name FROM highlow WHERE highlow.highest_elevation  > (SELECT highlow.highest_elevation FROM highlow WHERE highlow.state_name = 'colorado');
give me the largest state ||| SELECT state.state_name FROM state WHERE state.area=(SELECT max(state.area) FROM state);
what is the highest mountain in alaska ||| SELECT highlow.highest_point FROM highlow WHERE highlow.state_name='alaska';
what is the capital of michigan ||| SELECT state.capital FROM state WHERE state.state_name='michigan';
what river is the longest one in the united states ? ||| SELECT river.river_name FROM river WHERE river.length=(SELECT max(river.length) FROM river);
how many people are there in iowa ||| SELECT state.population FROM state WHERE state.state_name='iowa';
what is the capital of texas ||| SELECT state.capital FROM state WHERE state.state_name='texas';
what states border states that border states that border states that border texas ||| SELECT b1.border FROM border_info b1, border_info b2, border_info b3, border_info b4 WHERE b1.state_name = b2.border AND b2.state_name = b3.border AND b3.state_name = b4.border AND b4.state_name = 'texas';
what is the size of florida ||| SELECT state.area FROM state WHERE state.state_name='florida';
what state that borders texas has the highest population ? ||| SELECT state.state_name FROM state WHERE state.state_name IN (SELECT border_info.border FROM border_info WHERE border_info.state_name = 'texas' ) ORDER BY state.population DESC LIMIT 1;
what is the area of maryland in square kilometers ||| SELECT state.area FROM state WHERE state.state_name='maryland';
population of boulder ||| SELECT city.population FROM city WHERE city.city_name='boulder';
how high is the highest point in the largest state ||| SELECT highlow.highest_elevation FROM highlow,state WHERE highlow.state_name=state.state_name AND state.area=(SELECT max(state.area) FROM state);
what is the capital of the state that borders the most states ||| SELECT state.capital FROM state WHERE state.state_name IN ( SELECT border_info.border FROM border_info GROUP BY border_info.border having count(1) = (SELECT max(cnt1) FROM (SELECT border_info.border, count(1) AS cnt1 FROM border_info GROUP BY border_info.border) tmp) );
what is the lowest point in wisconsin ||| SELECT highlow.lowest_point FROM highlow WHERE highlow.state_name='wisconsin';
what state has the city flint ||| SELECT city.state_name FROM city WHERE city.city_name='flint';
what capital has the largest population ||| SELECT city.city_name FROM city WHERE city.population=(SELECT max(city.population) FROM city,state WHERE city.city_name=state.capital);
which rivers run through the state with the lowest elevation in the usa ||| SELECT river.river_name FROM river WHERE river.traverse IN (SELECT highlow.state_name FROM highlow WHERE highlow.lowest_elevation= (SELECT min(highlow.lowest_elevation) FROM highlow));
what is the height of the highest point in the usa ||| SELECT max(highlow.highest_elevation) FROM highlow;
how many people live in the capital of georgia ||| SELECT city.population FROM city WHERE city.city_name=(SELECT state.capital FROM state WHERE state.state_name='georgia');
what is the highest point in florida ||| SELECT highlow.highest_point FROM highlow WHERE highlow.state_name='florida';
what is the largest state that borders the state with the highest population ||| SELECT state.state_name FROM state WHERE state.state_name IN(SELECT border_info.state_name FROM border_info WHERE border_info.border IN(SELECT state.state_name FROM state WHERE state.population=(SELECT max(state.population) FROM state))) AND state.area=(SELECT max(state.area) FROM state WHERE state.state_name IN (SELECT border_info.state_name FROM border_info WHERE border_info.border IN(SELECT state.state_name FROM state WHERE state.population=(SELECT max(state.population) FROM state))));
how many people are there in new york ||| SELECT state.population FROM state WHERE state.state_name='new york';
what are the populations of the states through which the mississippi runs ||| SELECT state.population FROM state WHERE state.state_name IN(SELECT river.traverse FROM river WHERE river.river_name='mississippi');
what is the population of springfield missouri ||| SELECT city.population FROM city WHERE city.city_name='springfield' AND city.state_name='missouri';
what state that borders texas is the largest ? ||| SELECT state.state_name FROM state WHERE state.state_name IN (SELECT border_info.border FROM border_info WHERE border_info.state_name = 'texas' ) ORDER BY state.area DESC LIMIT 1;
what rivers flow through states that alabama borders ||| SELECT river.river_name FROM river WHERE river.traverse IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='alabama');
what is the biggest city in the us ||| SELECT city.city_name FROM city WHERE city.population=(SELECT max(city.population) FROM city);
where is the lowest point in the us ||| SELECT highlow.lowest_point FROM highlow WHERE highlow.lowest_elevation = (SELECT min(highlow.lowest_elevation) FROM highlow);
which states border michigan ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='michigan';
what are the states that the potomac run through ||| SELECT river.traverse FROM river WHERE river.river_name='potomac';
where is austin ||| SELECT city.state_name FROM city WHERE city.city_name='austin';
what is the population of atlanta ||| SELECT city.population FROM city WHERE city.city_name='atlanta';
where is new hampshire ||| SELECT state.country_name FROM state WHERE state.state_name='new hampshire';
how high is the highest point in montana ||| SELECT highlow.highest_elevation FROM highlow WHERE highlow.state_name='montana';
how many major rivers cross ohio ||| SELECT count(river.river_name) FROM river WHERE river.traverse='ohio' AND river.length>750;
what is the highest point in the us ||| SELECT distinct highlow.highest_point FROM highlow WHERE highlow.highest_elevation = (SELECT max(highlow.highest_elevation) FROM highlow);
what states border states which the mississippi runs through ||| SELECT border_info.border FROM border_info WHERE border_info.state_name IN(SELECT river.traverse FROM river WHERE river.river_name='mississippi');
what state is boston in ||| SELECT city.state_name FROM city WHERE city.city_name='boston';
what is the highest point in the country ||| SELECT distinct highlow.highest_point FROM highlow WHERE highlow.highest_elevation = (SELECT max(highlow.highest_elevation) FROM highlow);
what is the capital of the state with the highest point ||| SELECT state.capital FROM state,highlow WHERE state.state_name=highlow.state_name AND highlow.highest_elevation=(SELECT max(highlow.highest_elevation) FROM highlow);
how big is the city of new york ||| SELECT city.population FROM city WHERE city.city_name='new york';
what is the city in texas with the largest population ||| SELECT city.city_name FROM city WHERE city.state_name='texas' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='texas');
what states does the ohio river go through ||| SELECT river.traverse FROM river WHERE river.river_name='ohio';
what is the state with the largest population density ||| SELECT state.state_name FROM state WHERE state.density=(SELECT max(state.density) FROM state);
what state is the state with the most rivers ? ||| SELECT river.traverse FROM river,state WHERE river.traverse=state.state_name GROUP BY state.state_name ORDER BY count(river.river_name) DESC LIMIT 1 ;
what cities in texas have the highest populations ||| SELECT city.city_name FROM city WHERE city.state_name='texas' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='texas');
